CODED_APLY,CODED_PART,CODED_LEVEL,APLY_IS_LOW_EXM,APLY_IS_UP_EXM
6,15,1,N,Y
9,6,3,N,Y
89,5,1,N,N
94,15,1,N,Y
132,17,3,Y,N
165,-1,0,N,N
208,7,1,N,N
315,-1,0,N,N
330,11,2,Y,N
332,8,3,Y,N
343,6,2,N,Y
346,6,1,N,Y
348,6,3,N,Y
368,11,1,Y,N
371,-1,0,N,N
374,-1,0,N,N
381,-1,0,N,N
383,11,2,Y,N
388,18,3,Y,N
390,10,3,N,N
394,-1,0,N,N
397,5,3,N,N
415,13,2,N,Y
423,6,1,N,Y
7,-1,0,N,N
12,14,3,Y,N
396,11,3,Y,N
35,15,1,N,Y
39,6,2,N,Y
45,-1,0,N,N
49,-1,0,N,N
52,11,1,Y,N
56,11,1,Y,N
59,18,1,Y,N
61,5,2,N,N
63,16,1,Y,N
67,-1,0,N,N
72,6,3,N,Y
73,-1,0,N,N
75,3,3,N,Y
77,6,1,N,Y
78,-1,0,N,N
83,7,2,N,N
88,6,2,N,Y
93,8,3,Y,N
102,1,2,N,Y
109,0,3,Y,N
113,6,3,N,Y
116,20,1,N,N
124,11,3,Y,N
125,18,2,Y,N
130,-1,0,N,N
140,18,3,Y,N
143,5,3,N,N
151,15,3,N,Y
153,-1,0,N,N
158,15,3,N,Y
160,-1,0,N,N
171,5,1,N,N
189,0,3,Y,N
190,-1,0,N,N
193,11,3,Y,N
206,11,3,Y,N
207,5,2,N,N
212,17,1,Y,N
215,16,1,Y,N
221,3,3,N,Y
234,-1,0,N,N
236,8,3,Y,N
237,-1,0,N,N
241,14,3,Y,N
249,8,3,Y,N
253,5,2,N,N
256,16,2,Y,N
262,16,1,Y,N
265,14,3,Y,N
271,-1,0,N,N
281,15,3,N,Y
283,13,3,N,Y
287,-1,0,N,N
288,17,3,Y,N
294,18,3,Y,N
297,8,3,Y,N
304,16,3,Y,N
305,8,3,Y,N
306,-1,0,N,N
310,13,1,N,Y
