CODED_APLY,CODED_PART,CODED_LEVEL,APLY_IS_LOW_EXM,APLY_IS_UP_EXM
6,25,2,N,Y
9,6,3,N,Y
89,5,2,N,N
94,25,2,N,Y
132,27,3,N,N
165,-2,0,N,N
208,7,2,N,N
315,-2,0,N,N
330,22,2,N,N
332,8,3,N,N
343,6,2,N,Y
346,6,2,N,Y
348,6,3,N,Y
368,22,2,N,Y
371,-2,0,N,Y
374,-2,0,N,Y
381,-2,0,N,Y
383,22,2,N,Y
388,28,3,N,Y
390,20,3,N,Y
394,-2,0,N,Y
397,5,3,N,Y
415,23,2,N,Y
423,6,2,N,Y
7,-2,0,N,Y
12,24,3,N,Y
396,22,3,N,Y
35,25,2,N,Y
39,6,2,N,Y
45,-2,0,N,Y
49,-2,0,N,Y
52,22,2,N,Y
56,22,2,N,Y
59,28,2,N,Y
61,5,2,N,Y
63,26,2,N,Y
67,-2,0,N,Y
72,6,3,N,Y
73,-2,0,N,Y
75,3,3,N,Y
77,6,2,N,Y
78,-2,0,N,Y
83,7,2,N,Y
88,6,2,N,Y
93,8,3,N,Y
102,2,2,N,Y
109,0,3,N,Y
113,6,3,N,Y
116,20,2,N,Y
124,22,3,N,Y
125,28,2,N,Y
130,-2,0,N,Y
140,28,3,N,Y
143,5,3,N,Y
151,25,3,N,Y
153,-2,0,N,Y
158,25,3,N,Y
160,-2,0,N,Y
171,5,2,N,Y
189,0,3,N,Y
190,-2,0,N,Y
193,22,3,N,Y
206,22,3,N,Y
207,5,2,N,Y
212,27,2,N,Y
215,26,2,N,Y
221,3,3,N,Y
234,-2,0,N,Y
236,8,3,N,Y
237,-2,0,N,Y
241,24,3,Y,Y
249,8,3,Y,Y
253,5,2,N,Y
256,26,2,Y,Y
262,26,2,Y,Y
265,24,3,Y,Y
271,-2,0,N,Y
281,25,3,N,Y
283,23,3,N,Y
287,-2,0,N,Y
288,27,3,Y,Y
294,28,3,Y,Y
297,8,3,Y,Y
304,26,3,Y,Y
305,8,3,Y,Y
306,-2,0,N,Y
310,23,2,N,Y
