NEW_CODED_APLY,NEW_CODED_PART,NEW_CODED_LEVEL,APLY_IS_LOW_EXM,APLY_IS_UP_EXM
6,18,1,N,Y
9,7,3,N,Y
89,6,1,N,N
94,18,1,N,Y
132,22,3,Y,N
165,-1,0,N,N
208,8,1,N,N
319,-1,0,N,N
335,-1,2,Y,N
337,-1,3,Y,N
349,-1,2,N,Y
352,-1,1,N,Y
354,-1,3,N,Y
375,-1,1,Y,N
378,-1,0,N,N
381,-1,0,N,N
388,-1,0,N,N
390,-1,0,Y,N
395,-1,0,N,N
397,-1,0,N,N
401,-1,0,N,N
404,6,0,N,N
428,16,0,N,Y
437,7,0,N,Y
7,-1,0,N,N
12,17,0,N,N
403,14,0,N,N
35,18,0,N,Y
39,7,0,N,Y
45,-1,0,N,N
49,-1,0,N,N
52,14,0,N,N
56,14,0,N,N
59,23,0,N,N
61,6,0,N,N
63,20,0,N,N
67,-1,0,N,N
72,7,0,N,Y
73,-1,0,N,N
75,4,0,N,Y
77,7,0,N,Y
78,-1,0,N,N
83,8,0,N,N
88,7,0,N,Y
93,9,0,N,N
102,1,0,N,Y
109,0,0,N,N
113,20,0,N,Y
116,20,0,N,N
124,20,0,N,N
125,20,0,N,N
130,20,0,N,N
140,20,0,N,N
143,20,0,N,N
151,20,0,N,Y
153,20,0,N,N
158,20,0,N,Y
160,20,0,N,N
171,20,0,N,N
189,20,0,N,N
190,20,0,N,N
193,20,0,N,N
206,20,0,N,N
207,20,0,N,N
212,20,0,N,N
215,20,0,N,N
221,20,0,N,Y
234,20,0,N,N
236,20,0,N,N
237,20,0,N,N
241,20,0,N,N
249,20,0,N,N
253,20,0,N,N
256,20,0,N,N
262,20,0,N,N
265,20,0,N,N
271,20,0,N,N
281,20,0,N,Y
284,20,0,N,Y
288,20,0,N,N
289,20,0,N,N
296,20,0,N,N
299,20,0,N,N
307,20,0,N,N
308,9,0,N,N
309,-1,0,N,N
313,16,0,N,Y
417,23,0,N,N
487,29,0,N,N
549,21,0,N,N
567,-1,0,N,N
584,14,0,N,N
659,17,0,N,N
665,14,0,N,N
671,3,0,N,N
677,20,0,N,N
682,23,0,N,N
321,7,0,N,Y
418,7,0,N,Y
447,7,0,N,N
641,6,0,N,N
688,7,0,N,N
456,4,0,N,N
462,7,0,N,N
467,23,0,N,N
472,24,0,N,N
478,-1,0,N,N
484,-1,0,N,N
490,7,0,N,N
495,-1,0,N,N
500,29,0,N,N
505,4,0,N,N
510,7,0,N,N
515,4,0,N,N
520,-1,0,N,N
525,-1,0,N,N
531,8,0,N,N
537,8,0,Y,N
544,8,0,Y,N
550,8,0,N,N
555,8,0,N,N
563,8,0,Y,N
570,8,0,N,N
577,8,0,Y,N
585,8,0,N,N
591,8,0,Y,N
596,8,0,Y,N
601,8,0,Y,N
608,8,0,N,N
614,8,0,N,N
619,8,0,N,N
624,8,0,N,N
629,8,0,N,N
636,8,0,N,N
642,8,0,N,N
647,20,3,Y,N
652,20,1,Y,N
